大分類,小分類,コマンドラインオプション,効果,デフォルト値
表示,その他オン・オフ,+[no]ttlid,TTL を表示,yes
表示,その他オン・オフ,+[no]class,CLASS を表示,yes
表示,その他オン・オフ,+[no]crypto,DNSSEC 関連の暗号によるフィールドを表示,yes (no で省略)
表示,その他オン・オフ,+[no]rrcomments,DNSKEY の表示に分かりやすいコメントを入れる,no (+multiline では yes)
表示,その他オン・オフ,+[no]onesoa,AXFR の結果の SOA をひとつだけ表示,no (先頭と末尾の SOA を表示)
表示,その他オン・オフ,+[no]besteffort,正しいフォーマットではないレスポンスもできるだけ表示,yes
表示,フォーマットの選択,-u,クエリー時間をマイクロ秒で表示,ミリ秒で表示
表示,フォーマットの選択,+[no]ttlunits,TTL を時間や分など人にやさしい単位で表示,no (秒で表示)
表示,フォーマットの選択,+[no]expandaaaa,AAAA レコードを省略記法を用いない 39 文字で表示,no (省略記法)
表示,フォーマットの選択,+[no]unknownformat,全ての RDATA を未知の RRTYPE 向けのフォーマットで表示,no
表示,フォーマットの選択,+[no]multiline,SOA レコード等を人に分かりやすい複数行で表示,no
表示,フォーマットの選択,+[no]split=VALUE,レコードの値を 16 進表示する際、指定した文字数 (4 の倍数) で区切る,56 (+multiline では 44)
表示,全体,+[no]short,簡潔な表示,no
表示,全体,+[no]identify,+short オプション利用時にサーバーの IP アドレスを表示,no
表示,全体,+[no]yaml,YAML 形式で表示,no
その他,IDN,+[no]idnin / +[no]idnout,国際化ドメイン名 (IDN) を入力 / 出力に使う,TTY 入出力時は yes、その他は no
その他,特殊,+[no]nssearch,ゾーンの全ての権威ネームサーバーの持つ SOA を表示,no
その他,特殊,+[no]trace,ルートから反復クエリーを行なう,no
その他,特殊,+[no]dns64prefix,ipv4only.arpa AAAA をクエリーした結果得られるプレフィクスを表示,no
その他,その他,-v,バージョンを表示,-
その他,その他,-h,使い方を表示,-
その他,その他,-r,.digrcファイルを読み込まない ,-
その他,その他,-m,メモリデバッグ,-
